Acquisitions ID,Acquired Company,Acquiring Company,Year of acquisition announcement,Deal announced on,Price,Status,Terms,Acquisition Profile,News,News Link
AT&T acquired Wayport in 2008,Wayport,AT&T,2008,10/11/2008,"$275,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/dc1ecf753e23471a49262509ede71ded,AT&T acquired Wayport,http://www.thealarmclock.com/mt/archives/2008/11/att_deals_275m.html
eBay acquired Baazee in 2004,Baazee,eBay,2004,23/06/2004,"$50,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/56836891be88d3aca39a34440ae2e7d0,eBay buys Baazee.com for $50 mn,http://in.rediff.com/money/2004/jun/23ebay.htm
SAP acquired SuccessFactors in 2012,SuccessFactors,SAP,2012,22/02/2012,"$3,400,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/24f3e04628b3889cacc7c263a92f15bf,After Closing $3.4B Acquisition Of SuccessFactors SAP Pushes Human Capital Management In The Cloud | TechCrunch,http://techcrunch.com/2012/02/22/successfactors-sap/
Google acquired Widevine Technologies in 2010,Widevine Technologies,Google,2010,16/12/2010,"$160,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/1d3238734530b76a54e58b4de0ce29e2,Google Buys On Demand Video Service Widevine To Bolster Its Own TV Efforts | TechCrunch,http://techcrunch.com/2010/12/03/google-buys-on-demand-video-startup-widevine-to-bolster-its-own-tv-efforts/
Amazon acquired Alexa in 1999,Alexa,Amazon,1999,1/05/1999,"$250,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/dad2c8ffa97c0017b773f935f62d7a04,E-commerce loves Street: Critical Path plans encore - San Francisco Business Times,http://www.bizjournals.com/sanfrancisco/stories/1999/05/24/newscolumn4.html
Qualcomm acquired Firethorn in 2007,Firethorn,Qualcomm,2007,14/11/2007,"$210,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/ad3057f3252fe0249a6eb0b8faf33d73,Qualcomm buys Firethorn for $210M,http://www.fiercewireless.com/story/qualcomm-buys-firethorn-210m/2007-11-14
Oracle acquired MICROS Systems in 2014,MICROS Systems,Oracle,2014,23/06/2014,"$5,300,000,000",Complete,"Cash, Stock",http://www.crunchbase.com/acquisition/8a1fea006c86ea1d0cb2eb3c5fcc3eb2,"Oracle completes $5.3 billion acquisition of Micros Systems | ZDNet, Oracle buys MICROS Systems for $5.3 billion | ZDNet","http://www.zdnet.com/oracle-completes-5-3-billion-acquisition-of-micros-systems-7000033458/, http://www.zdnet.com/oracle-buys-micros-systems-for-5-3-billion-7000030819/"
Google acquired AdMob in 2009,AdMob,Google,2009,9/11/2009,"$750,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/a3108a764f74d50f69085541e2a939fa,Google Acquires AdMob For $750 Million | TechCrunch,http://techcrunch.com/2009/11/09/google-acquires-admob/
Facebook acquired Oculus VR in 2014,Oculus VR,Facebook,2014,25/03/2014,"$2,000,000,000",Complete,"Cash, Stock",http://www.crunchbase.com/acquisition/303575981d0f4b58e76d07d2225656a7,"Facebook’s $2 Billion Acquisition Of Oculus Closes Now Official | TechCrunch, Facebook To Buy Oculus VR Maker Of The Rift Headset For Around $2B In Cash And Stock | TechCrunch, Facebook Bought Oculus VR To Create The Metaverse Or Why Angry Kickstarter Backers Need To Chill | TechCrunch","http://techcrunch.com/2014/07/21/facebooks-acquisition-of-oculus-closes-now-official/, http://techcrunch.com/2014/03/25/facebook-to-buy-oculus-vr-maker-of-the-rift-headset-for-around-2b-in-cash-and-stock/, http://techcrunch.com/2014/03/28/facebook-bought-oculus-vr-to-create-the-metaverse-or-why-angry-kickstarter-backers-need-to-chill/"
Amazon acquired Kiva Systems in 2012,Kiva Systems,Amazon,2012,19/03/2012,"$775,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/6755ab93f36de582c749103862cdeac6,Amazon buys Kiva Systems for $775M -- prepare for even smarter warehouses,http://venturebeat.com/2012/03/19/amazon-buys-kiva-systems/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Venturebeat_deals+%28VentureBeat+%C2%BB+Deals+%26+More%29
IBM acquired Kenexa in 2012,Kenexa,IBM,2012,28/08/2012,"$1,300,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/f392a9d9d991e47a63d035d9e47e3673,IBM Buys Social HR And Talent Management Software Company Kenexa For $1.3B In Cash | TechCrunch,http://techcrunch.com/2012/08/27/ibm-acquires-hr-and-talent-management-software-company-kenexa-for-1-3b-in-cash/
Dell acquired Compellent Technologies in 2010,Compellent Technologies,Dell,2010,13/12/2010,"$820,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/ddacc8097d2acae67f893658bd53ef15,Confirmed: Dell Buys Storage Company Compellent For $820 Million In Cash | TechCrunch,http://techcrunch.com/2010/12/13/confirmed-dell-buys-compellent-for-820-million/
Cisco acquired Meraki in 2012,Meraki,Cisco Systems,2012,20/11/2012,"$1,200,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/af1380e0723354491155d392491fd7e4,Cisco Acquires Enterprise Wi-Fi Startup Meraki For $1.2 Billion In Cash | TechCrunch,http://techcrunch.com/2012/11/18/cisco-acquires-enterprise-wi-fi-startup-meraki-for-1-2-billion-in-cash/
Yahoo! acquired Inktomi in 2003,Inktomi,Yahoo,2003,1/03/2003,"$235,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/162528006c0a38fb7c7768d090fe0a6d,,
Verizon Communications acquired Alltel in 2008,Alltel,Verizon Communications,2008,5/06/2008,"$28,100,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/7dc8b0602a075a11626733e3847010dc,Verizon Communications acquired Alltel,http://www.marketwatch.com/story/verizon-to-acquire-alltel-in-281-billion-deal
Google acquired dMarc Broadcasting in 2006,dMarc Broadcasting,Google,2006,1/01/2006,"$102,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/ed1c3aea84245441d79f5322f1e829d4,Google Buys Into Radio,http://www.clickz.com/clickz/news/1699098/google-buys-into-radio
Yahoo! acquired Launch Media in 2001,Launch Media,Yahoo,2001,1/06/2001,"$12,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/cbaecd04e389c498c27e83fbe0504d82,,
Intel acquired McAfee in 2010,McAfee,Intel,2010,19/08/2010,"$7,700,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/337816dc80d604ce765f51d925432d53,Intel acquired McAfee,http://newsroom.intel.com/community/intel_newsroom/blog/2010/08/19/intel-to-acquire-mcafee
Juniper Networks acquired Altor Networks in 2010,Altor Networks,Juniper Networks,2010,6/12/2010,"$95,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/4cfc4a94332b5db8f566a77938f415d9,Juniper Networks acquired Altor Networks,http://techcrunch.com/2010/12/06/juniper-buys-virtualization-security-company-altor-networks-for-95-million/
Yahoo! acquired Maktoob in 2010,Maktoob,Yahoo,2010,26/02/2010,"$164,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/0be25f0c9e835122ae9d68b3980fdf48,Yahoo! acquired Maktoob,http://paidcontent.org/article/419-sec-watch-yahoo-purchased-maktoob-for-164-million/
Yahoo! acquired Viaweb in 1998,Viaweb,Yahoo,1998,1/06/1998,"$49,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/85c3b916118a6ba045dc00874ceb2bab,,
Cisco acquired Sourcefire in 2013,Sourcefire,Cisco Systems,2013,23/07/2013,"$2,700,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/f88ee53f493a6fd22933f9a719755794,Cisco acquired Sourcefire,http://techcrunch.com/2013/07/23/cisco-acquires-cybersecurity-company-sourcefire-for-2-7b/
IBM acquired SPSS in 2009,SPSS,IBM,2009,28/07/2009,"$1,200,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/b75792cff065cbae9af4261fb7e4c6ec,IBM To Acquire SPSS For $1.2 Billion - InformationWeek,http://www.informationweek.com/ibm-to-acquire-spss-for-$12-billion/d/d-id/1081724?
Google acquired Bump Technologies in 2013,Bump Technologies,Google,2013,31/12/2013,"$30,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/bdf15ee5a43ce8e9d9a4a8cdb5bdaf98,Google to Discontinue Sharing App Bump and Flock on Jan. 31 2014 | iPhone in Canada Blog - Canada's #1 iPhone Resource,http://www.iphoneincanada.ca/news/google-discontinue-bump-flock-jan-2014/
Google acquired The Dealmap in 2011,The Dealmap,Google,2011,1/08/2011,"$30,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/1bf38e55b81238cc0ddd2acb81c3d4c0,,
Facebook acquired Instagram in 2012,Instagram,Facebook,2012,9/04/2012,"$1,000,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/827053e560f7d36c5ca9abe34e27ca92,Facebook Buys Instagram For $1 Billion Turns Budding Rival Into Its Standalone Photo App | TechCrunch,http://techcrunch.com/2012/04/09/facebook-to-acquire-instagram-for-1-billion/
Adobe Systems acquired Efficient Frontier in 2011,Efficient Frontier,Adobe,2011,30/11/2011,"$400,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/b4359332f1de0ab3c32f6646b005c12c,Adobe Acquires Efficient Frontier To Boost Its Digital Marketing Solutions | TechCrunch,http://techcrunch.com/2011/11/30/adobe-acquires-efficient-frontier-to-boost-its-digital-marketing-solutions/
Cisco acquired Tandberg in 2009,Tandberg,Cisco Systems,2009,1/10/2009,"$3,400,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/088848e531a41e111dba3c30f8bed4c2,Cisco acquired Tandberg,http://newsroom.cisco.com/dlls/2009/corp_111609.html
Cisco acquired Airespace in 2005,Airespace,Cisco Systems,2005,23/03/2005,"$450,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/40ae4771a075e37eb74fc33f9eddebe1,Cisco nets Airespace for $450 million,http://www.networkworld.com/news/2005/0112ciscoaire.html
IBM acquired Unica in 2010,Unica,IBM,2010,6/10/2010,"$480,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/445ba32cbafd5be049b4e3dd78d3bb43,IBM acquired Unica,http://www.masshightech.com/stories/2010/10/04/daily32-IBMs-480M-buyout-of-Unica-complete.html
eBay acquired PayPal in 2002,PayPal,eBay,2002,8/07/2002,"$1,500,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/fbb1fd0af30e78c8035d91d79f8c02cf,eBay picks up PayPal for $1.5 billion - CNET News,http://news.cnet.com/2100-1017-941964.html
Cisco acquired WhipTail in 2013,WhipTail,Cisco Systems,2013,11/09/2013,"$415,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/e27551a8fcedf90ba07abf0c11287ba1,FinSMEs | Cisco to Acquire Whiptail for $415M,http://www.finsmes.com/2013/09/cisco-acquires-whiptail-415m.html
Facebook acquired Chai Labs in 2010,Chai Labs,Facebook,2010,15/08/2010,"$10,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/7c3d7345ee9230f7c4b412e5f60f0e33,Facebook acquired Chai Labs,http://paidcontent.org/article/419-facebook-makes-another-acq-hire-chai-labs-deal-estimated-at-10-million/
Salesforce acquired Salesforce Japan in 2010,Salesforce Japan,Salesforce,2010,31/10/2010,"$170,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/46072fdd476e210085ccf6a7992d270a,,
Twitter acquired Vine in 2012,Vine,Twitter,2012,9/10/2012,"$30,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/eaeb610cc79df4b31644bb7981abea9a,Jack Dorsey Still Has Pull at Twitter. Just Ask the Vine Guys.,http://allthingsd.com/20121025/jack-dorsey-still-has-pull-at-twitter-just-ask-the-vine-guys/
Comcast acquired DailyCandy in 2008,DailyCandy,Comcast,2008,5/08/2008,"$125,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/5296bc1d785340bc5d85aa603ca3778e,Comcast acquired DailyCandy,http://www.alleyinsider.com/2008/8/comcast-buys-dailycandy-for-125-million-beats-out-viacom-for-newsletter-business
Toluna acquired Greenfield Online in 2009,Greenfield Online,Toluna,2009,26/06/2009,"$51,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/2ace2eaa14a1beb2f4e0250e772e3e06,Toluna buys Greenfield Online survey business for $40m | News | Research,http://www.research-live.com/news/m-and-a/toluna-buys-greenfield-online-survey-business-for-$40m/4000346.article
CA Technologies acquired Wily Technology in 2006,Wily Technology,CA Technologies,2006,5/01/2006,"$375,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/1be7e1fba755b2328f3a162c05f76df4,CA Technologies acquired Wily Technology,http://searchdatacenter.techtarget.com/news/1156691/CA-acquires-Wily-Technology
AOL acquired Gravity in 2014,Gravity,AOL,2014,23/01/2014,"$90,700,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/eff98178f792e6ddb6eaa8051c840361,Setting Its Sights On Content Personalization AOL To Acquire Gravity For $90.7M | TechCrunch,http://techcrunch.com/2014/01/23/aol-acquires-gravity/
AOL acquired Xdrive in 2005,Xdrive,AOL,2005,4/08/2005,"$30,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/6a833d2c74714328ce5077abe01ef4bb,Press Releases | Time Warner Inc.,http://www.timewarner.com/newsroom/press-releases/
Facebook acquired Face.com in 2012,Face.com,Facebook,2012,18/06/2012,"$60,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/402b550369ef5acf6d1e49c45b0b0cd0,Facebook Scoops Up Face.com For $55-60M To Bolster Its Facial Recognition Tech (Updated) | TechCrunch,http://techcrunch.com/2012/06/18/facebook-scoops-up-face-com-for-100m-to-bolster-its-facial-recognition-tech/
eBay acquired Milo in 2010,Milo,eBay,2010,2/12/2010,"$75,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/9d9880a02d4eec7e40cb6d5bfc7c7ec1,Confirmed: Ebay Acquires Milo For $75 Million. Investors Make A Killing. | TechCrunch,http://techcrunch.com/2010/12/02/confirmed-ebay-acquires-milo-for-75-million-investors-make-a-killing/
IBM acquired XIV in 2008,XIV,IBM,2008,2/01/2008,"$300,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/e046c0a7c33eac3c0ac1c7359b30bfa2,IBM acquired XIV,http://www.thealarmclock.com/mt/archives/2008/01/ibm_buys_novel.html
Hellman & Friedman acquired DoubleClick in 2005,DoubleClick,Hellman & Friedman,2005,13/07/2005,"$1,100,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/671951c396a6b90c9827c7deda3525c9,Hellman & Friedman acquired DoubleClick,http://www.hf.com/news/071405.html
Google acquired LabPixies in 2010,LabPixies,Google,2010,27/04/2010,"$25,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/98ae9af2318d064af65b07d59a012b54,Google Believed To Pay Up To $25 Million For LabPixies To Flood The Web With Apps | TechCrunch,http://techcrunch.com/2010/04/27/labpixies-google-25-million/
CA Technologies acquired Nolio in 2013,Nolio,CA Technologies,2013,1/04/2013,"$40,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/f3aabb7cbbe991b05b94f1c2274160bb,CA Technologies Acquires Nolio Unveils CA LISA Application Delivery suite | DevOpsANGLE,http://devopsangle.com/2013/04/25/ca-technologies-acquires-nolio-unveils-ca-lisa-application-delivery-suite/
Yahoo! acquired MyBlogLog in 2007,MyBlogLog,Yahoo,2007,9/01/2007,"$10,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/b1666e8aab3213c82c159d0a2a29548f,Yahoo Buys MyBlogLog. No They Didn't. Wait Yes. | TechCrunch,http://techcrunch.com/2007/01/08/yahoo-buys-mybloglog-no-they-didnt-wait-yes/
Yahoo! acquired Net Controls in 1997,Net Controls,Yahoo,1997,1/09/1997,"$1,400,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/650ee6945f6d1a928b6855b7442faa47,,
Juniper Networks acquired Contrail Systems in 2012,Contrail Systems,Juniper Networks,2012,13/12/2012,"$176,000,000",Complete,"Cash, Stock",http://www.crunchbase.com/acquisition/c13635445494adbeb6de94d3172f13d9,,
Juniper Networks acquired Wandl in 2013,Wandl,Juniper Networks,2013,16/12/2013,"$60,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/d3697e10e210268a4badf26827afff81,Juniper buys net optimizer WANDL for $60M,http://www.networkworld.com/news/2013/121613-juniper-wandl-276980.html
StumbleUpon acquired StumbleUpon in 2009,StumbleUpon,StumbleUpon,2009,1/04/2009,"$29,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/7120c4d98a2ed07693391f242f4dbae1,StumbleUpon Beats Skype In Escaping EBay's Clutches | TechCrunch,http://techcrunch.com/2009/04/13/ebay-unacquires-stumbleupon/
LinkedIn acquired Bright.com in 2014,Bright.com,LinkedIn,2014,6/02/2014,"$120,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/1b71ed5b727fba9577bb6c9f54d3b99a,LinkedIn Snatches Up Data Savvy Job Search Startup Bright.com For $120M In Its Largest Acquisition To Date | TechCrunch,http://techcrunch.com/2014/02/06/linkedin-snatches-up-data-savvy-job-search-startup-bright-com-for-120m-in-its-largest-acquisition-to-date/
eBay acquired Shopping.com in 2005,Shopping.com,eBay,2005,2/06/2005,"$620,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/1db8a362c34a64dd567d583107a64b5b,eBay acquired Shopping.com,http://archive.thestandard.com/internetnews/003081.php
Facebook acquired Hot Potato in 2010,Hot Potato,Facebook,2010,28/07/2010,"$10,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/51be4197929a8907853063220a7cd2e8,Facebook To Pay $10 Million Cash For Hot Potato Says Source | TechCrunch,http://techcrunch.com/2010/07/28/facebook-to-pay-10-million-cash-for-hot-potato-says-source/
Samsung Electronics acquired Novaled in 2013,Novaled,Samsung Electronics,2013,9/08/2013,"$347,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/23c228aa9ed62c150d33498bfe2bc0a0,Samsung to acquire German OLED biz Novaled for $347M,http://venturebeat.com/2013/08/09/samsung-to-acquire-german-oled-biz-novaled-for-347m/
Cisco acquired Pure Networks in 2008,Pure Networks,Cisco Systems,2008,22/07/2008,"$120,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/225cc60b911cd34fbd835791f8da31b8,,
Twitter acquired AdGrok in 2011,AdGrok,Twitter,2011,31/05/2011,"$10,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/77963d623da8ccfca5469e34e11839ba,Twitter acquired AdGrok,http://www.ibtimes.com/twitter-said-acquire-adgrok-287203
IBM acquired Guardium in 2009,Guardium,IBM,2009,30/11/2009,"$225,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/5924bd2dd2dacb27d043a4e2d7c92f2e,Confirmed: IBM Acquires Database Security Startup Guardium For Undisclosed Amount | TechCrunch,http://techcrunch.com/2009/11/30/confirmed-ibm-acquires-database-security-startup-guardium-for-undisclosed-amount/
Intel acquired Indisys in 2013,Indisys,Intel,2013,13/09/2013,"$26,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/64ed384758aeebd180d92bfc8efa2df9,Intel Has Acquired Natural Language Processing Startup Indisys Price “North” Of $26M To Build Its AI Muscle | TechCrunch,http://techcrunch.com/2013/09/13/intel-has-acquired-natural-language-processing-startup-indisys-price-north-of-26m/
Twitter acquired Bluefin Labs in 2013,Bluefin Labs,Twitter,2013,4/02/2013,"$80,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/c22a54c707837e5a938ccca5fbac97e4,Twitter acquired Bluefin Labs,http://bostinno.streetwise.co/2013/03/04/how-twitter-came-to-boston-the-story-behind-two-very-different-acquisitions/
Twitter acquired Namo Media in 2014,Namo Media,Twitter,2014,5/06/2014,"$50,000,000",Pending,Undisclosed,http://www.crunchbase.com/acquisition/9242c50a0af42eb18287760d7135794b,Twitter Buys Mobile Native Ad Startup Namo Media For Around $50M | TechCrunch,http://techcrunch.com/2014/06/05/twitter-buys-namo-media-to-expand-its-native-ads-offering/?ncid=rss
Microsoft acquired Whale Communications in 2006,Whale Communications,Microsoft,2006,18/05/2006,"$75,000,000",Complete,Undisclosed,http://www.crunchbase.com/acquisition/2b69d017866677e10abde9a263093634,Microsoft to Acquire Whale Communications a Leading Provider of SSL VPN and Application Security Technologies,http://www.microsoft.com/en-us/news/press/2006/may06/05-18whalecommunicationspr.aspx
Salesforce acquired Salesforce Buddy Media in 2012,Salesforce Buddy Media,Salesforce,2012,4/06/2012,"$689,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/20c8dbc092009d359eb280f8a3295ab7,Salesforce buys Buddy Media for $689M to become a marketing powerhouse,http://venturebeat.com/2012/06/04/salesforce-buys-buddy-media-689m/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Venturebeat_deals+%28VentureBeat+%C2%BB+Deals+%26+More%29
Google acquired Meebo in 2012,Meebo,Google,2012,4/06/2012,"$100,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/7c51af141c9ce62620b9e1a58b47ce2b,Confirmed: Google Is Buying Meebo The Startup That Turned Chat Into A Business [Updated] | TechCrunch,http://techcrunch.com/2012/06/04/confirmed-google-is-buying-meebo-the-startup-that-turned-chat-into-a-business/
Microsoft acquired VideoSurf in 2011,VideoSurf,Microsoft,2011,23/11/2011,"$100,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/479f816b2007dc2f71d743dbc4cac6e3,With Its $100M Acquisition Of VideoSurf Microsoft’s Video Search Now Has Big Potential | TechCrunch,http://techcrunch.com/2011/11/23/with-its-100m-acquisition-of-videosurf-microsofts-video-search-now-has-big-potential/
Vodafone acquired ONO in 2014,ONO,Vodafone,2014,17/03/2014,"$10,000,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/aa10e30ba2c29ceb6501a495d63b36f0,Vodafone buys Ono for $10B to offer mobile fixed-line and TV bundles in Spain,http://gigaom.com/2014/03/17/vodafone-buys-ono-for-10b-to-offer-mobile-fixed-line-and-tv-bundles-in-spain/
Oracle acquired ATG (Art Technology Group) in 2011,ATG (Art Technology Group),Oracle,2011,5/01/2011,"$1,000,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/8efb67d1e184e98223389aff6d270d4b,Oracle to pay $1B for e-commerce pioneer ATG - Boston Business Journal,http://www.bizjournals.com/boston/blog/mass-high-tech/2010/11/oracle-to-pay-1b-for-e-commerce-pioneer-atg.html
Oracle acquired Vitrue in 2012,Vitrue,Oracle,2012,23/05/2012,"$300,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/d7a7505c9c66a16fdff4d5ed65d5bb22,Oracle buys social marketing startup Vitrue for $300M,http://venturebeat.com/2012/05/23/oracle-buys-vitrue/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Venturebeat_deals+%28VentureBeat+%C2%BB+Deals+%26+More%29
eBay acquired Where in 2011,Where,eBay,2011,1/04/2011,"$135,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/ef22b8d71d06cc6f740127316c3422fd,Retail Giant Ebay Acquires Where for $135 Million | BostInno,http://bostinno.streetwise.co/2011/04/20/retail-giant-ebay-acquires-where-for-135-million/
Apple acquired Anobit Technologies in 2011,Anobit Technologies,Apple,2011,13/12/2011,"$450,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/2facf1d482fa7e98dd99174024e0d9e1,Apple Reportedly Buying Flash Memory Company Anobit For $400 Million – $500 Million | TechCrunch,http://techcrunch.com/2011/12/13/apple-reportedly-buying-flash-memory-company-anobit-for-400-million-500-million/
Amazon acquired LOVEFiLM in 2012,LOVEFiLM,Amazon,2012,15/06/2012,"$2,500,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/5139d0ae45c74d54d6dc877af43c6afc,Amazon Acquires LoveFilm The Netflix Of Europe | TechCrunch,http://techcrunch.com/2011/01/20/amazon-acquires-lovefilm-the-netflix-of-europe/
Oracle acquired Agile Software in 2007,Agile Software,Oracle,2007,29/06/1905,"$495,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/7c85139319391bbb51accff3e32c6fae,Oracle to acquire lifecycle management software co. Agile for $495M,http://venturebeat.com/2007/05/15/oracle-to-acquire-lifecycle-management-software-co-agile-for-495m/
Google acquired modu in 2011,modu,Google,2011,20/05/2011,"$4,900,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/192d73ab61b2525173ae899d479c6cc2,Google Spends $4.9 Million On Modu Patent Portfolio | TechCrunch,http://techcrunch.com/2011/05/20/google-spends-4-9-million-on-modu-patent-portfolio/
LinkedIn acquired Pulse in 2013,Pulse,LinkedIn,2013,13/04/2013,"$90,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/a170340793479dc97801482f3f38c11b,FinSMEs | LinkedIn Acquires Pulse for $90M,http://www.finsmes.com/2013/04/linkedin-acquires-pulse-90m.html
eBay acquired Bill Me Later in 2008,Bill Me Later,eBay,2008,6/10/2008,"$945,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/2e3c4ddd98cb6f2e208c5af158168f48,Ebay Spends More Than $1.2 Billion To Buy Bill Me Later And DBA.dk And Lays Off 10% Of Employees | TechCrunch,http://techcrunch.com/2008/10/06/ebay-spends-more-than-1-billion-to-buy-billmelater-and-dbadk-and-lays-off-10-of-employees/
Google acquired ITA Software in 2011,ITA Software,Google,2011,13/04/2011,"$700,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/82da9a9afb9794229a29dfcc38b705c7,After Agreeing To DOJ Settlement Google Closes $700M Acquisition Of ITA Software | TechCrunch,http://techcrunch.com/2011/04/13/after-agreeing-to-doj-settlement-google-closes-700m-acquisition-of-ita-software/
Microsoft acquired aQuantive in 2007,aQuantive,Microsoft,2007,18/05/2007,"$6,400,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/a3e60a790aebfe93e50f46c31fa07056,Microsoft Pays $6 billion for aQuantive: Massive Ad Network Consolidation Is Occuring | TechCrunch,http://techcrunch.com/2007/05/18/microsoft-pays-6-billion-for-aquantive/
Qualcomm acquired Qualcomm Atheros in 2011,Qualcomm Atheros,Qualcomm,2011,5/05/2011,"$3,100,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/4508525abf29606a7e99029072d8fea0,Qualcomm Brings Atheros Into the Fold | San Diego Business Journal,http://www.sdbj.com/news/2011/may/24/qualcomm-brings-atheros-fold/
Nokia acquired Twango in 2007,Twango,Nokia,2007,1/07/2007,"$96,800,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/862cffc847de4179f3cfb7b242d6e891,,
Yahoo! acquired Log-me-on.com in 1999,Log-me-on.com,Yahoo,1999,1/05/1999,"$10,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/1c9abd868aaa0426fc4b9180cecfffdc,Early Yahoo! Acquisitions (the 1990s) - SEO by the Sea,http://www.seobythesea.com/2006/01/early-yahoo-acquisitions-the-1990s/
eBay acquired GSI Commerce in 2011,GSI Commerce,eBay,2011,20/06/2011,"$2,400,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/ee5b7b19e62a929e48d4ced5410bf015,eBay Acquires GSI Commerce For $2.4 Billion In Cash And Debt | TechCrunch,http://techcrunch.com/2011/03/28/ebay-to-acquire-gsi-commerce-for-2-4-billion/
