Company,CrunchBase Profile,Image,Tagline,Year Founded,Market Categories,Address (HQ),City (HQ),State / Region (HQ),Country (HQ),Description,Homepage,Twitter,Acquired by,Acquisitions ID,API
PGP Corporation,http://www.crunchbase.com/organization/pgp-corporation,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185839/1486b9d5a1c267443926c1d7c4f8e460.png","PGP Corporation provides email and data encryption software solutions for enterprises, businesses and governments.",1996.0,Software,"200 Jefferson Drive, Menlo Park, California, United States",Menlo Park,California,United States,"PGP Corporation provides email and data encryption software solutions for enterprises, businesses, and governments.The company was founded in 1996 and is based in Menlo Park, California.",http://www.pgp.com,,Symantec,Symantec acquired PGP Corporation in 2010,http://api.crunchbase.com/v/2/organization/pgp-corporation?user_key=0ebdc8274e821149894a240090945265
Recourse Technologies,http://www.crunchbase.com/organization/recourse-technologies,,"As of July 2002, Recourse Technologies, Inc. was acquired by Symantec Corporation. Recourse Technologies, Inc. provides threat management",,,"1600 Seaport Boulevard, Suite 400, Redwood City, California, United States",Redwood City,California,United States,"As of July 2002, Recourse Technologies, Inc. was acquired by Symantec Corporation. Recourse Technologies, Inc. provides threat management solutions that detect, analyze, and respond to malicious computer attacks enabling secure and uninterrupted business operations. It offers ManHunt, a threat management system for detecting, analyzing, and responding to attacks; and ManTrap, a deception system that catches and identifies internal and external security threats. The company was founded in 1999 and is based in Redwood City, California.",,,Symantec,Symantec acquired Recourse Technologies in 2002,http://api.crunchbase.com/v/2/organization/recourse-technologies?user_key=0ebdc8274e821149894a240090945265
SwapDrive,http://www.crunchbase.com/organization/swapdrive,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188443/82ade34057e87b88a45b074f5d4546f5.png","SwapDrive offers an online storage solution allowing users to backup, store and access their data via a centralized platform.",1998.0,Curated Web,"1313 F St NW, Washington, District of Columbia, United States",Washington,District of Columbia,United States,"SwapDrive is an online storage solution.   The service aims to help users backup, store and access their data much the same way they obtain everyday utility services.In addition to online data backup, SwapDrive offers file sharing, large file transfer and ubiquitous access to information.",http://www.swapdrive.com,,Symantec,Symantec acquired SwapDrive in 2008,http://api.crunchbase.com/v/2/organization/swapdrive?user_key=0ebdc8274e821149894a240090945265
TurnTide,http://www.crunchbase.com/organization/turntide,,TurnTide is an anti-spam technology company based in Pennsylvania.,,Security,,,,,"TurnTide Inc. was an anti-spam technology company founded in 2004 and based in Conshohocken, Pennsylvania. The firm was created as a spin-off corporation from privacy and anti-spam technology firm ePrivacy Group to bring to market the world's first anti-spam router. The technology, linking anti-spam detection algorithms with network-level flow controls, was originally marketed by ePrivacy Group under the name ""SpamSquelcher"".TurnTide was acquired by Symantec six months after its creation for USD $28 million",,,Symantec,Symantec acquired TurnTide in 2004,http://api.crunchbase.com/v/2/organization/turntide?user_key=0ebdc8274e821149894a240090945265
VeriSign Authentication Services,http://www.crunchbase.com/organization/verisign,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181636/2dcee9e80cb8cbad61343cb91ddcc1e1.png","VeriSign Authentication Services provides network infrastructure, security and telecommunications services for companies and individuals.",1995.0,Security,"487 East Middlefield Road, Mountain View, California, United States",Mountain View,California,United States,"VeriSign operates a diverse array of network infrastructure, including two of the Internet's thirteen root nameservers, the generic top-level domains for .com and .net, one of the largest SS7 signaling networks in North America, and the RFID directory for EPCGlobal. VeriSign also provides a variety of security and telecom services ranging from digital certificates, payments processing, and managed firewalls to mobile call roaming, toll-free call database queries and downloadable digital content for mobile devices. The company groups all of these functions under the banner of 'intelligent infrastructure' services.",http://www.verisign.com,,Symantec,Symantec acquired VeriSign Authentication Services in 2010,http://api.crunchbase.com/v/2/organization/verisign?user_key=0ebdc8274e821149894a240090945265
Vontu,http://www.crunchbase.com/organization/vontu,,"Vontu provides data loss prevention software solutions for data at rest, in motion, and at the endpoint.",2001.0,Software,"475 Sansome Street, Suite 2000, San Francisco, California, United States",San Francisco,California,United States,"Vontu, Inc. provides data loss prevention software solutions for data at rest, in motion, and at the endpoint; and police enforcement. The company offers implementation, business advisory, training, and account management services. It provides solutions for federal agencies, financial services, healthcare, high tech, insurance, manufacturing, media and entertainment, pharmaceutical, retail, and telecommunications.The company was founded in 2001 and is headquartered in San Francisco, California with additional offices in New York, New York; and Berkshire, the United Kingdom. As of November 30, 2007, Vontu, Inc. is a subsidiary of Symantec Corporation NasdaqNM:SYMC",http://www.vontu.com,,Symantec,Symantec acquired Vontu in 2007,http://api.crunchbase.com/v/2/organization/vontu?user_key=0ebdc8274e821149894a240090945265
Aprimo,http://www.crunchbase.com/organization/aprimo,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186637/76c57d17524266afd3852c6be5ec9d3b.gif",Aprimo provides an enterprise marketing management solution that enables businesses to implement and manage online marketing activities.,1998.0,Enterprise Software,"900 East 96th Street, Suite 400, Indianapolis, Indiana, United States",Indianapolis,Indiana,United States,"Aprimo delivers technology and insight that accelerates marketing productivity and the ability of marketing to document performance. Aprimo provides an Enterprise Marketing Management EMM product to leading marketing organizations around the world. Aprimo's software is built on its visionary Enterprise Marketing Backbone which uses a services oriented architecture SOA that eliminates marketing as an island of automation. Aprimo is the global leader in delivering technology and insight that accelerates marketing productivity and the ability of marketing to document effective performance. Aprimo provides an Enterprise Marketing Management EMM product to leading marketing organizations around the world. Aprimo's software is built on its visionary Enterprise Marketing Backbone™ which uses a services oriented architecture SOA that eliminates marketing as an island of automation. Aprimo Marketing Studio offers an integrated, interactive marketing solution that enables to develop, implement and manage every aspect of online marketing activities. Aprimo Marketing Studio includes traffic generation features missing from nearly all existing marketing automation products. Marketing Studio is designed as a true Software-as-a-Service system to tap underserved market and establish a leadership position in the emerging Online Marketing Management space aimed at mid-size and larger companies.",http://www.aprimo.com,http://twitter.com/aprimomarketing,Teradata,Teradata acquired Aprimo in 2010,http://api.crunchbase.com/v/2/organization/aprimo?user_key=0ebdc8274e821149894a240090945265
Aster Data Systems,http://www.crunchbase.com/organization/aster-data-systems,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187473/d411be2f915ce18a9fd6ee30323fe1cd.jpg",Aster Data provides big data management and analysis solutions for businesses that handle data-driven applications.,2005.0,"Analytics, Databases","999 Skyway Rd, Suite 100, San Carlos, California, United States",San Carlos,California,United States,"Aster Data is a proven leader in big data management and big data analysis for data-driven applications.Aster Data's nCluster is the first MPP data warehouse architecture that allows applications to be fully embedded within the database engine to enable ultra-fast, deep analysis of massive data sets.Aster Data's unique ""applications-within™"" approach allows application logic to exist and execute with the data itself. Termed a ""Massively Parallel Data-Application Server,"" Aster Data's solution effectively uses Aster's patent-pending SQL-MapReduce with parallelized data processing and applications to address the big data challenge.Companies using Aster Data include Coremetrics, MySpace, Akamai, ShareThis, and Full Tilt Poker. Aster is headquartered in San Carlos, California and is backed by Sequoia Capital/financial-organization/sequoia-capital, JAFCO Ventures/financial-organization/jafco-ventures, IVP/financial-organization/institutional-venture-partners, Cambrian Ventures/financial-organization/cambrian-ventures, and First- Round Capital/financial-organization/first-round-capital, as well as industry visionaries including David Cheriton and Ron Conway.",http://www.asterdata.com,http://twitter.com/asterdata,Teradata,Teradata acquired Aster Data Systems in 2011,http://api.crunchbase.com/v/2/organization/aster-data-systems?user_key=0ebdc8274e821149894a240090945265
AdGrok,http://www.crunchbase.com/organization/adgrok,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397189341/96d297b1b7f005bf29522a4f923e5fd6.png",AdGrok is an advertising platform enabling business owners to automate the process of choosing and bidding on keywords on Google AdWords.,2010.0,Advertising,"153 Townsend, Ste. 5017, San Francisco, California, United States",San Francisco,California,United States,AdGrok allows business owners to automate the process of choosing and bidding on keywords on Google AdWords.,http://adgrok.com,http://twitter.com/adgrok,Twitter,Twitter acquired AdGrok in 2011,http://api.crunchbase.com/v/2/organization/adgrok?user_key=0ebdc8274e821149894a240090945265
Bluefin Labs,http://www.crunchbase.com/organization/bluefin-labs,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397192260/20de3c808e0e1c50702db603b868ee63.jpg","Bluefin Labs is a social TV analytics company providing solutions to brand advertisers, advertising agencies and TV networks.",2008.0,"Search, Social Television, Analytics, Video","One Kendall Square, Cambridge, Massachusetts, United States",Cambridge,Massachusetts,United States,"Bluefin Labs is a social TV analytics company providing solutions to brand advertisers, advertising agencies and TV networks. Bluefin Labs’ technology, data and professional services enable clients to tap into data at scale that links people’s social media commentary to the shows and commercials they watch on TV. Grounded in 15 years of cognitive science and machine learning research at the MIT Media Lab, Bluefin Labs was founded in 2008 and has offices in Cambridge, MA and New York, NY. Bluefin Labs was acquired by Twitter on February 5, 2013.For more about Bluefin Labs, visit www.bluefinlabs.com.",http://www.bluefinlabs.com,http://twitter.com/bluefinlabs,Twitter,Twitter acquired Bluefin Labs in 2013,http://api.crunchbase.com/v/2/organization/bluefin-labs?user_key=0ebdc8274e821149894a240090945265
Gnip,http://www.crunchbase.com/organization/gnip,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397750268/d29028802910fae2f2658d8f805b20da.png","Gnip provides social media data for customers in sectors such as social media monitoring, business intelligence, government and finance.",2008.0,Enterprise Software,"1050 Walnut, Suite 115, Boulder, Colorado, United States",Boulder,Colorado,United States,"Gnip is the world’s largest and most trusted provider of social data. Gnip was the first to partner with Twitter to make their social data available, and since then have been the first to work with Tumblr, Foursquare, WordPress, Disqus, StockTwits and more.Gnip delivers social data to customers in more than 40 countries, and Gnip’s customers deliver social media analytics to more than 95% of the Fortune 500.Gnip is headquartered in Boulder, Colo., and has offices in San Francisco, New York and Washington D.C.",http://www.gnip.com,http://twitter.com/gnip,Twitter,Twitter acquired Gnip in 2014,http://api.crunchbase.com/v/2/organization/gnip?user_key=0ebdc8274e821149894a240090945265
Mixer Labs,http://www.crunchbase.com/organization/mixer-labs,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184699/f27b18001528eb632465349a87d89aa7.png","Mixer Labs is the creator of GeoAPI.com, a location engine for developers, and TownMe, a local information site.",,Search,"San Mateo, California, United States",San Mateo,California,United States,"Mixer Labs is the company behind GeoAPI.com, a powerful location engine for developers, and TownMe, a new local information site.  TownMe's mission is to bring all the world's local information and relationships online.  TownMe's goal is to show your town, online.Mixer Labs also powers a GeoAPI which provides location as a service.  The GeoAPI includes:-Reverse Geocoder -16 million business listings and points of interest with rich per location data-Writable layer - each developer can add their own annotation of places and entities and do complex geo-queries against this information.You can access it via ,  or ",http://www.townme.com,,Twitter,Twitter acquired Mixer Labs in 2009,http://api.crunchbase.com/v/2/organization/mixer-labs?user_key=0ebdc8274e821149894a240090945265
MoPub,http://www.crunchbase.com/organization/mopub,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397195261/79448cd2d15e919f8dde34aa696ed324.png",MoPub is a mobile monetization platform that helps publishers drive more revenue from advertising and mobile transactions.,2010.0,"Advertising, Mobile Advertising, Mobile","501 Folsom St, 4th Floor, San Francisco, California, United States",San Francisco,California,United States,"MoPub, acquired by Twitter in 2014, is rethinking mobile app monetization, enabling publishers to understand ad performance and user engagement. MoPub was founded in 2010 by ex-Google and ex-AdMob engineers and product managers. MoPub is an AngelPad company AP #1 2010.",http://www.mopub.com,http://twitter.com/mopub,Twitter,Twitter acquired MoPub in 2013,http://api.crunchbase.com/v/2/organization/mopub?user_key=0ebdc8274e821149894a240090945265
Namo Media,http://www.crunchbase.com/organization/namo-media,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181599/175c06cb80fb988be5e9d904af029459.png",Namo Media develops elegant and less interruptive ad formats that integrate with the user’s stream of content.,2013.0,Mobile,"840 Battery St., 2nd Floor, San Francisco, California, United States",San Francisco,California,United States,"Namo Media's technology allows any mobile app to do mobile advertising like Facebook: beautiful mobile ads that sit in-stream rather than in annoying banner ads. Today’s 320 x 50px mobile banner ads combine bad user experience with bad ad performance. Namo’s in-stream native advertising unit solves both problems: in-stream ads don’t cause banner blindness for users, raising the value of each impression for advertisers. Ads that are uninteresting can simply be scrolled away, rather than sticking to the top or bottom of the screen where they cause accidental clicks.Facebook already generates about $1.5B+ in revenue a year from these ads. Namo’s SDK powers ads for stream-based apps on iOS and Android. In-stream ads work great for any app with a content stream, e.g. social, photosharing, news, and communications apps. Streams are the natural way to consume content on mobile, and in-stream ads are the natural way to monetize streams. The company was started by former Google and AdMob product managers and software engineers, and has raised funding from Google Ventures, Andreessen Horowitz, Betaworks, and Trinity Ventures.",http://www.namomedia.com,http://twitter.com/namomedia,Twitter,Twitter acquired Namo Media in 2014,http://api.crunchbase.com/v/2/organization/namo-media?user_key=0ebdc8274e821149894a240090945265
Summize,http://www.crunchbase.com/organization/summize,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182746/4213db1ebfb52dc3c2b4a36f90ab5c47.png",Summize is a conversational search engine that provides listings of the most reviewed and liked products and services.,2006.0,"Reviews and Recommendations, Curated Web, Search","21135 Whitfield Dr. Suite 202, Potomac Falls, Virginia, United Stats of AMerica",Potomac Falls,Virginia,United Stats of AMerica,"Summize crawls online reviews and blog discussions to create summarized reviews of music, movies, books and more. A search provides listings for most reviewed and most liked products, recent blog mentions, YouTube videos, and sites linked to by blogs. Summize uses a horizontal heatmap, what they call a ""snip,"" to display the actual distribution of ratings. This helps distinguish between two products that have equal average ratings, but where one product has only high or low ratings and another product has mostly average ratings. The horizontal bar ranges from red to yellow to green. Products with more positive reviews show more green on the bar, while products with more negative reviews show more red. Lastly, average corresponds to yellow. For more details about the snip read here-fatigue.",http://summize.com,http://twitter.com/summize,Twitter,Twitter acquired Summize in 2008,http://api.crunchbase.com/v/2/organization/summize?user_key=0ebdc8274e821149894a240090945265
TapCommerce,http://www.crunchbase.com/organization/tapcommerce,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183714/873e90db86a47617d5fedcaac71e89f8.jpg",TapCommerce is a venture-backed mobile technology company engaged in mobile retargeting.,2012.0,Mobile,"51 East 12th Street, 4th Floor, New York City, New York, United States",New York City,New York,United States,"TapCommerce is the leader in mobile retargeting. They're trusted by the most successful mobile brands to deliver customers, revenue, and return on investment across mobile platforms. TapCommerce is a venture-backed mobile technology company headquartered in New York City's Union Square.",http://www.tapcommerce.com,http://twitter.com/tapCommercehq,Twitter,Twitter acquired TapCommerce in 2014,http://api.crunchbase.com/v/2/organization/tapcommerce?user_key=0ebdc8274e821149894a240090945265
TweetDeck,http://www.crunchbase.com/organization/tweetdeck,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397189578/de0cf21e54cec37c1630a7f401a53a9e.png","TweetDeck is a Twitter tool for real-time tracking, organizing and engagement on web and mobile devices.",2008.0,"Twitter Applications, Software","London, United Kingdom, Great Britain",London,United Kingdom,Great Britain,"TweetDeck is a Twitter client for desktop, web, and mobile devices.TweetDeck was originally an Adobe Air desktop application, designed with a unique columned user interface. Its goal was to be a realtime application that allowed users to monitor that information in a single concise view. TweetDeck integrated services from Twitter, Twitscoop, 12seconds, Stocktwits and  Facebook.In 2011, Twitter acquired TweetDeck and rebuilt the application in HTML5.",http://www.tweetdeck.com,http://twitter.com/TweetDeck,Twitter,Twitter acquired TweetDeck in 2011,http://api.crunchbase.com/v/2/organization/tweetdeck?user_key=0ebdc8274e821149894a240090945265
Vine,http://www.crunchbase.com/organization/vine,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397751232/29b0f6f9d213355ca07871738c4fd48d.png",Vine is a mobile and web application that enables users to create and share short video clips that are usually six seconds in length.,2012.0,Mobile,"51 E 12th Street, 10th Floor, New York City, New York, United States",New York City,New York,United States,"Vine is the best way to see and share life in motion. Create short, beautiful, looping videos in a simple and fun way for your friends and family to see.",http://www.vine.co,http://twitter.com/vineapp,Twitter,Twitter acquired Vine in 2012,http://api.crunchbase.com/v/2/organization/vine?user_key=0ebdc8274e821149894a240090945265
Alltel,http://www.crunchbase.com/organization/alltel,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397191117/9183e85366a48b9679c2903b97c1d8b5.png",Alltel is a wireless company offering telecommunication solutions such as roaming and long-distance calling; data solutions; and more.,1968.0,Public Relations,"1 Allied Dr., Little Rock, Arkansas, United States",Little Rock,Arkansas,United States,"Alltel Corporation provides telecommunication solutions. It offers wireless voice and data communication, postpaid and prepaid wireless calling card, roaming and long-distance calling, and data solutions. The company provides text and video messaging digital gaming, radio streaming, Internet access, and emailing services. Additionally, it offers mobile handsets and accessories. The company provides business intelligence, field service automation, security, and systems management services. It caters to transportation, retail, insurance, healthcare, construction, and financial services industries.",http://www.alltel.com,http://twitter.com/alltel,Verizon Communications,Verizon Communications acquired Alltel in 2008,http://api.crunchbase.com/v/2/organization/alltel?user_key=0ebdc8274e821149894a240090945265
Kabel Deutschland,http://www.crunchbase.com/organization/kabel-deutschland,,,,Public Relations,,,,,,http://deutschland.de,http://twitter.com/de_deutschland,Vodafone,Vodafone acquired Kabel Deutschland in 2013,http://api.crunchbase.com/v/2/organization/kabel-deutschland?user_key=0ebdc8274e821149894a240090945265
ONO,http://www.crunchbase.com/organization/ono,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397202279/419e73f36d8d3c533eb6f4cae92c0e2b.png",Communications and Entertainment,1993.0,"Telecommunications, Entertainment, Enterprise Software",,,,,"ONO Spain is the leading communications and entertainment company broadband.They are a telecommunications company to offer voice services, pay-TV and Internet access through its own network of fiber optic broadband.They are in Spain since 1998 and offer the service faster Internet connection.",http://www.ono.es,http://twitter.com/ono_ono,Vodafone,Vodafone acquired ONO in 2014,http://api.crunchbase.com/v/2/organization/ono?user_key=0ebdc8274e821149894a240090945265
Wayfinder,http://www.crunchbase.com/organization/wayfinder,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397198172/b2140e160b82a07260ffe838ba96948a.png","Wayfinder is a supplier of innovative location and navigation services for mobile phones. User-friendliness, the core attribute of all",,,"Stockholm, Stockholms Lan, Sweden",Stockholm,Stockholms Lan,Sweden,"Wayfinder is a supplier of innovative location and navigation services for mobile phones. User-friendliness, the core attribute of all Wayfinder's applications and services, makes it easy for consumers to take advantage of cutting edge innovation for both business and leisure use.Wayfinder's portfolio of location applications includes the flagship product, Wayfinder Navigator as well as successful products such as Wayfinder Earth, Wayfinder Access, the new Wayfinder Active. All of the above services are available in 19 languages to a steadily growing base of unique users that now exceeds 2 million global users.Clients and partners include the mobile phone manufacturers Sony Ericsson, Nokia and Blackberry RIM, as well as the mobile phone operators Airtel, Telenor, Telefonica, Vodafone, O2, AT&amp;T, Orange, A1 Mobilkom Austria, 3, SFR and Tele2. The family of partners also includes strategic content providers such as Tele Atlas, Navteq, MapmyIndia, Dmapas and Wcities.Wayfinder has been listed on the NGM Equity Stock Exchange since October 21, 2005. The head office is located in Stockholm, Sweden.Source: wayfinder.com",http://www.wayfinder.com,,Vodafone,Vodafone acquired Wayfinder in 2008,http://api.crunchbase.com/v/2/organization/wayfinder?user_key=0ebdc8274e821149894a240090945265
ZYB,http://www.crunchbase.com/organization/zyb,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181080/1539c3519f27abdd7e4c9f1612afd82a.gif",ZYB is a mobile phone utility and social networking site providing back-up services for phone data such as messages and calendar events.,,"Networking, Social Network Media, Mobile","Esromgade 15, 1-1, Copenhagen, Hovedstaden, Denmark",Copenhagen,Hovedstaden,Denmark,"ZYB is a mobile phone utility and social networking site. ZYB started in 2005 as a european service to provide easy back-up services for mobile phones. Using this information, they have built a social networking platform based upon this data set. Given the importance of mobile phones in Europe, ZYB has built in Twitter like location based functions into the service. For more information please see this MobileCrunch-exclusive-first-look-at-zyb-the-free-data-backup-and-contact-and-calendar-synchronizer-for-your-mobile/ article from when ZYB launched.",http://zyb.com,,Vodafone,Vodafone acquired ZYB in 2008,http://api.crunchbase.com/v/2/organization/zyb?user_key=0ebdc8274e821149894a240090945265
AlltheWeb,http://www.crunchbase.com/organization/alltheweb,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397193706/068fe96e3f24b6f17de1f5e27075ea3f.gif",AlltheWeb is an internet search engine that uses indices and powerful features to facilitate search.,1999.0,,,,,,AlltheWeb combines one of the largest and freshest indices with the most powerful search features that allow anyone to find anything faster than with any other search engine.,http://www.alltheweb.com,,Yahoo,Yahoo! acquired AlltheWeb in 2003,http://api.crunchbase.com/v/2/organization/alltheweb?user_key=0ebdc8274e821149894a240090945265
Associated Content,http://www.crunchbase.com/organization/associatedcontent,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180772/01d3d900e5d26ed72eba9c9d7eab6baf.gif",Associated Content is an open content platform that enables its users to publish their content online.,,Curated Web,"Denver, Colorado, United States",Denver,Colorado,United States,"Associated Content was an open content platform which enabled anyone to participate in the new content economy by publishing content on any topic, in any format text, video, audio and images, and connected that content to consumers, partners and advertisers.  Uploaded content could be easily found on the site's home page in broad categories like education, automotive, technology etc, or directly on each content producer's page.  AC's content was viewed by millions of people each and every month.  Associated Content was acquired by Yahoo in 2010.",http://www.associatedcontent.com,,Yahoo,Yahoo! acquired Associated Content in 2010,http://api.crunchbase.com/v/2/organization/associatedcontent?user_key=0ebdc8274e821149894a240090945265
Aviate,http://www.crunchbase.com/organization/aviate,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188058/42078ba54d4afc105ca23e907eb09cf9.jpg",Aviate is an intelligent homescreen for Android OSs that organizes the information in the user's phone and displays it at the right moment.,2011.0,"Android, Mobile","Palo Alto, California, United States",Palo Alto,California,United States,Aviate is an intelligent homescreen for the Android operating system that organizes the information in your phone and surfaces it at the perfect moment.Aviate works with your favorite apps to raise the smartphone experience above the clutter.,http://www.getaviate.com,http://twitter.com/Aviate,Yahoo,Yahoo! acquired Aviate in 2014,http://api.crunchbase.com/v/2/organization/aviate?user_key=0ebdc8274e821149894a240090945265
Broadcast.com,http://www.crunchbase.com/organization/broadcast-com,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397193713/b84d96b1404b0794cd7ca4f78d793407.gif",Broadcast.com is an internet radio company.,1995.0,Music,"Dallas, Texas, United States",Dallas,Texas,United States,Broadcast.com was an Internet radio company founded in 1995 and sold to Yahoo! at the height of the Dot-com Bubble in 1999 for more than $5 billion.,http://www.broadcast.com,,Yahoo,Yahoo! acquired Broadcast.com in 1999,http://api.crunchbase.com/v/2/organization/broadcast-com?user_key=0ebdc8274e821149894a240090945265
Dapper,http://www.crunchbase.com/organization/dapper,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182656/ecf4b80d856d4c401f77242c5e814bcb.png",The Dapper Company provides construction material and supplies for residential and commercial builders.,2006.0,"Music, Web Tools, Advertising","290 King Street, San Francisco, California, United States",San Francisco,California,United States,"Dapper lets users extract and structure data from around the web, and then create useful services based around this structured information.  For example, Dapper allows users to create an RSS feed based on any web site, even if it's not theirs, or create Flash widgets that display results from queries of specific data sets.  Essentially, Dapper allows users to create an API for any website or service, and easily create mashups using it.  In addition, Dapper has preempted intellectual property concerns by creating a system for content owners to easily control how their content is used by others on the Dapper service.Dapper has applied their underlying technology to the display advertising industry, allowing advertisers to create dynamic ads that incorporate content and functionality from their website, combining it with content from publisher sites.  For example, Dapper powers ads in the travel vertical that bring back live hotel availabilities for cities that a user is reading about or searched for earlier.",http://dapper.net,http://twitter.com/dapper_net,Yahoo,Yahoo! acquired Dapper in 2010,http://api.crunchbase.com/v/2/organization/dapper?user_key=0ebdc8274e821149894a240090945265
eGroups,http://www.crunchbase.com/organization/egroups,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397193698/5ccf8d8142594f6c01ab3d5ad51431bf.gif",Online Groups Portal,1998.0,Curated Web,"350 Brannan Street, San Francisco, California, United States",San Francisco,California,United States,"eGroups, Inc. provided a gathering place on the Internet for groups to send and receive emails, schedule meetings, share files and photos, or have private group chats. eGroups, Inc., was formerly known as FindMail Communications, Inc., and changed its name to eGroups, Inc., in March 2000. eGroups, Inc., was incorporated in 1998 and was based in San Francisco, California.On August 31, 2000, eGroups, Inc. was acquired by Yahoo! Inc., and its technology was subsequently incorporated into Yahoo! Groups.",http://www.egroups.com,,Yahoo,Yahoo! acquired eGroups in 2000,http://api.crunchbase.com/v/2/organization/egroups?user_key=0ebdc8274e821149894a240090945265
Encompass,http://www.crunchbase.com/organization/encompass,,Encompass was added to CrunchBase in 2008,,,,,,,,,,Yahoo,Yahoo! acquired Encompass in 1999,http://api.crunchbase.com/v/2/organization/encompass?user_key=0ebdc8274e821149894a240090945265
Flurry,http://www.crunchbase.com/organization/flurry,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183943/a178596880f6c9653bc4e5308077bb57.png","Flurry is optimizing the mobile experience for developers, marketers and consumers through personalized ads and mobile analytics.",2005.0,"Advertising, Mobile","360 3rd Street, Suite 400, San Francisco, California, United States",San Francisco,California,United States,"Flurry is an app analytics provider, enabling business to monitor the trends and habits of mobile users across multiple mobile applications.Flurry’s mobile analytics solution enables businesses to understand how consumers interact with their mobile applications. Over 125,000 companies use Flurry’s analytics platform in more than 400,000 applications to measure audience reach, engagement, retention, conversions, revenue and more. The service is completely free, takes just five minutes for basic integration, and is continuously updated with the industry's most advanced features.Flurry Analytics is available for iOS, Android, Windows Phone, HTML5, hybrid apps, mobile/web, Blackberry, and JavaME.",http://www.flurry.com,http://twitter.com/FlurryMobile,Yahoo,Yahoo! acquired Flurry in 2014,http://api.crunchbase.com/v/2/organization/flurry?user_key=0ebdc8274e821149894a240090945265
Four11,http://www.crunchbase.com/organization/four11,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397193690/3fdaa8f629208ac19aa77d305d96650b.jpg","Four11 develops Internet white page directory for locating email addresses or collaborating using Internet phones, and video phones.",,Curated Web,,,,,"Four11 develops Internet white page directory for locating email addresses or collaborating using Internet phones, and video phones.",http://four11.com,,Yahoo,Yahoo! acquired Four11 in 1997,http://api.crunchbase.com/v/2/organization/four11?user_key=0ebdc8274e821149894a240090945265
FoxyTunes,http://www.crunchbase.com/organization/foxytunes,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185628/4bb9109721f23d0228f4e1307a594185.png",Firefox Toolbar Extension,2005.0,"Browser Extensions, Web Browsers, Search, Music",,,,,"FoxyTunes began in August 2004 as a Firefox toolbar extension allowing users to control all major media players on all major platforms from their browser. Since then FoxyTunes has added support for more than 30 music players and operability on Mozilla Thunderbird, Seamonkey, Flock, and Microsoft's Internet Explorer. Customizable buttons and skins have also been added, as well as numerous additional features such as album cover displays and twitter/song status signatures.The company plans to expand its business from the simple extension with its creation of FoxyTunes Planet, a music portal and ""personalized music aggregator"" that integrates with the extension as well as numerous major music services and providers.FoxyTunes was acquired by Yahoo in February 2008 for an undisclosed sum amidst a shakeup of the Yahoo Music property.",http://foxytunes.com,http://twitter.com/FoxyTunes,Yahoo,Yahoo! acquired FoxyTunes in 2008,http://api.crunchbase.com/v/2/organization/foxytunes?user_key=0ebdc8274e821149894a240090945265
